;Date;Low;High;Close;Open
4300;2017-02-06;63,14;63,65;63,64;63,5
4299;2017-02-03;63,07;63,7;63,68;63,5
4298;2017-02-02;62,75;63,41;63,17;63,25
4297;2017-02-01;63,47;64,62;63,58;64,355
4296;2017-01-31;64,26;65,15;64,65;64,86
4295;2017-01-30;64,8;65,79;65,13;65,69
4294;2017-01-27;64,89;65,91;65,78;65,39
4293;2017-01-26;63,55;64,535;64,27;64,12
4292;2017-01-25;63,45;64,1;63,68;63,95
4291;2017-01-24;62,94;63,735;63,52;63,2
4290;2017-01-23;62,57;63,1159;62,96;62,7
4289;2017-01-20;62,37;62,82;62,74;62,67
4288;2017-01-19;62,195;62,98;62,3;62,24
4287;2017-01-18;62,12;62,7;62,5;62,67
4286;2017-01-17;62,03;62,7;62,53;62,68
4285;2017-01-13;62,35;62,865;62,7;62,62
4284;2017-01-12;61,95;63,4;62,61;63,06
4283;2017-01-11;62,43;63,23;63,19;62,61
4282;2017-01-10;62,28;63,07;62,62;62,73
4281;2017-01-09;62,54;63,08;62,64;62,76
4280;2017-01-06;62,04;63,15;62,84;62,3
4279;2017-01-05;62,03;62,66;62,3;62,19
4278;2017-01-04;62,12;62,75;62,3;62,48
4277;2017-01-03;62,125;62,84;62,58;62,79
